scenario_name,window_index,is_alert,confidence
1_recon_progression,0,True,0.9999999999998705
1_recon_progression,1,True,0.9999999999998905
1_recon_progression,2,True,0.9999999999998723
1_recon_progression,3,True,0.9999999999998905
1_recon_progression,4,True,0.999999999999974
1_recon_progression,5,True,0.9999999999999942
1_recon_progression,6,True,0.9999999999999993
1_recon_progression,7,True,1.0
2_dos_progression,0,True,0.9999999999999423
2_dos_progression,1,True,0.9999999999999618
2_dos_progression,2,True,0.9999999999999742
2_dos_progression,3,True,0.9999999999999885
2_dos_progression,4,True,1.0
2_dos_progression,5,True,1.0
2_dos_progression,6,True,1.0
2_dos_progression,7,True,1.0
3_exfiltration_progression,0,True,0.9999999999999793
3_exfiltration_progression,1,True,0.9999999999999918
3_exfiltration_progression,2,True,0.9999999999999858
3_exfiltration_progression,3,True,0.9999999999999967
3_exfiltration_progression,4,True,1.0
3_exfiltration_progression,5,True,1.0
3_exfiltration_progression,6,True,1.0
3_exfiltration_progression,7,True,1.0
4_benign_burst_traffic,0,True,0.9999999999999742
4_benign_burst_traffic,1,True,0.9999999999999887
4_benign_burst_traffic,2,True,0.9999999999999816
4_benign_burst_traffic,3,True,0.9999999999999949
4_benign_burst_traffic,4,True,1.0
4_benign_burst_traffic,5,True,0.9999999999999989
4_benign_burst_traffic,6,True,0.9999999999999929
4_benign_burst_traffic,7,True,0.9999999999999813
5_ambiguous_mixed_traffic,0,True,0.9999999999998905
5_ambiguous_mixed_traffic,1,True,0.9999999999999074
5_ambiguous_mixed_traffic,2,True,0.9999999999999207
5_ambiguous_mixed_traffic,3,True,0.9999999999999329
5_ambiguous_mixed_traffic,4,True,0.9999999999999512
5_ambiguous_mixed_traffic,5,True,0.9999999999999587
5_ambiguous_mixed_traffic,6,True,0.9999999999999432
5_ambiguous_mixed_traffic,7,True,0.9999999999999074
